,radios(centimetros),radios(pixeles),tiempo
0,0.006359353970390309,31.5,0.0
1,0.01059892328398385,52.5,0.03355704697986577
2,0.011002691790040375,54.5,0.06711409395973154
3,0.010094212651413189,50.0,0.10067114093959731
4,0.013728129205921938,68.0,0.1342281879194631
5,0.018674293405114402,92.5,0.16778523489932887
6,0.018674293405114402,92.5,0.20134228187919462
7,0.019380888290713324,96.0,0.2348993288590604
8,0.021096904441453564,104.5,0.2684563758389262
9,0.022308209959623147,110.5,0.30201342281879195
10,0.022611036339165547,112.0,0.33557046979865773
11,0.023418573351278598,116.0,0.3691275167785235
12,0.024831763122476445,123.0,0.40268456375838924
13,0.026144010767160164,129.5,0.436241610738255
14,0.027759084791386272,137.5,0.4697986577181208
15,0.029273216689098252,145.0,0.5033557046979866
16,0.030787348586810228,152.5,0.5369127516778524
17,0.031695827725437414,157.0,0.5704697986577181
18,0.03310901749663526,164.0,0.6040268456375839
19,0.03411843876177658,169.0,0.6375838926174496
20,0.034825033647375506,172.5,0.6711409395973155
21,0.035733512786002695,177.0,0.7046979865771812
22,0.03623822341857335,179.5,0.738255033557047
23,0.036944818304172275,183.0,0.7718120805369127
24,0.037449528936742936,185.5,0.8053691275167785
25,0.03775235531628533,187.0,0.8389261744966443
26,0.03855989232839838,191.0,0.87248322147651
27,0.03855989232839838,191.0,0.9060402684563759
28,0.039165545087483176,194.0,0.9395973154362416
29,0.0398721399730821,197.5,0.9731543624161074
30,0.03997308209959623,198.0,1.0067114093959733
31,0.040275908479138624,199.5,1.0402684563758389
32,0.04047779273216689,200.5,1.0738255033557047
33,0.03977119784656796,197.0,1.1073825503355705
34,0.04057873485868102,201.0,1.1409395973154361
35,0.04067967698519515,201.5,1.174496644295302
36,0.0398721399730821,197.5,1.2080536912751678
37,0.04098250336473755,203.0,1.2416107382550337
38,0.041184387617765814,204.0,1.2751677852348993
39,0.04108344549125168,203.5,1.308724832214765
40,0.041285329744279946,204.5,1.342281879194631
41,0.04158815612382234,206.0,1.3758389261744965
42,0.04148721399730821,205.5,1.4093959731543624
43,0.04158815612382234,206.0,1.4429530201342282
44,0.04189098250336474,207.5,1.476510067114094
45,0.04199192462987887,208.0,1.5100671140939597
46,0.0423956931359354,210.0,1.5436241610738255
47,0.04370794078061911,216.5,1.5771812080536913
48,0.04421265141318977,219.0,1.610738255033557
49,0.0443135935397039,219.5,1.6442953020134228
50,0.04481830417227456,222.0,1.6778523489932886
51,0.04481830417227456,222.0,1.7114093959731544
52,0.045121130551816956,223.5,1.74496644295302
53,0.04441453566621804,220.0,1.778523489932886
54,0.04441453566621804,220.0,1.8120805369127517
55,0.044616419919246295,221.0,1.8456375838926176
56,0.045222072678331095,224.0,1.8791946308724832
57,0.045222072678331095,224.0,1.912751677852349
58,0.04532301480484522,224.5,1.9463087248322148
59,0.04532301480484522,224.5,1.9798657718120805
60,0.04532301480484522,224.5,2.0134228187919465
61,0.04542395693135935,225.0,2.046979865771812
62,0.04542395693135935,225.0,2.0805369127516777
63,0.04542395693135935,225.0,2.1140939597315436
64,0.04542395693135935,225.0,2.1476510067114094
65,0.04542395693135935,225.0,2.1812080536912752
66,0.04542395693135935,225.0,2.214765100671141
67,0.04552489905787348,225.5,2.248322147651007
68,0.04592866756393001,227.5,2.2818791946308723
69,0.04592866756393001,227.5,2.315436241610738
70,0.04562584118438762,226.0,2.348993288590604
71,0.04562584118438762,226.0,2.38255033557047
72,0.04562584118438762,226.0,2.4161073825503356
73,0.04572678331090175,226.5,2.4496644295302015
74,0.04562584118438762,226.0,2.4832214765100673
75,0.04582772543741588,227.0,2.5167785234899327
76,0.04582772543741588,227.0,2.5503355704697985
77,0.04582772543741588,227.0,2.5838926174496644
78,0.04582772543741588,227.0,2.61744966442953
79,0.04572678331090175,226.5,2.651006711409396
80,0.04572678331090175,226.5,2.684563758389262
81,0.04572678331090175,226.5,2.7181208053691277
82,0.04592866756393001,227.5,2.751677852348993
83,0.04592866756393001,227.5,2.785234899328859
84,0.04592866756393001,227.5,2.8187919463087248
85,0.04592866756393001,227.5,2.8523489932885906
86,0.04592866756393001,227.5,2.8859060402684564
87,0.04592866756393001,227.5,2.9194630872483223
88,0.04592866756393001,227.5,2.953020134228188
89,0.04602960969044414,228.0,2.9865771812080535
90,0.04602960969044414,228.0,3.0201342281879193
91,0.04602960969044414,228.0,3.053691275167785
92,0.04592866756393001,227.5,3.087248322147651
93,0.04613055181695828,228.5,3.120805369127517
94,0.04613055181695828,228.5,3.1543624161073827
95,0.04613055181695828,228.5,3.1879194630872485
96,0.04613055181695828,228.5,3.221476510067114
97,0.04623149394347241,229.0,3.2550335570469797
98,0.04623149394347241,229.0,3.2885906040268456
99,0.04623149394347241,229.0,3.3221476510067114
100,0.04623149394347241,229.0,3.3557046979865772
101,0.04613055181695828,228.5,3.389261744966443
102,0.04613055181695828,228.5,3.422818791946309
103,0.04623149394347241,229.0,3.4563758389261747
104,0.04623149394347241,229.0,3.48993288590604
105,0.04613055181695828,228.5,3.523489932885906
106,0.04613055181695828,228.5,3.557046979865772
107,0.04623149394347241,229.0,3.5906040268456376
108,0.04613055181695828,228.5,3.6241610738255035
109,0.046332436069986535,229.5,3.6577181208053693
110,0.04623149394347241,229.0,3.691275167785235
111,0.04602960969044414,228.0,3.7248322147651005
112,0.04602960969044414,228.0,3.7583892617449663
113,0.04602960969044414,228.0,3.791946308724832
114,0.04602960969044414,228.0,3.825503355704698
115,0.04602960969044414,228.0,3.859060402684564
116,0.04592866756393001,227.5,3.8926174496644297
