,radios(metros),radios(pixeles),tiempo
0,0.007267833109017496,36.0,0.0
1,0.008277254374158815,41.0,0.03367003367003367
2,0.010397039030955586,51.5,0.06734006734006734
3,0.01382907133243607,68.5,0.10101010101010101
4,0.00958950201884253,47.5,0.13468013468013468
5,0.010800807537012113,53.5,0.16835016835016836
6,0.011406460296096904,56.5,0.20202020202020202
7,0.014131897711978465,70.0,0.23569023569023567
8,0.015040376850605651,74.5,0.26936026936026936
9,0.01544414535666218,76.5,0.30303030303030304
10,0.016150740242261104,80.0,0.3367003367003367
11,0.017261103633916555,85.5,0.37037037037037035
12,0.017362045760430687,86.0,0.40404040404040403
13,0.01746298788694482,86.5,0.4377104377104377
14,0.018472409152086137,91.5,0.47138047138047134
15,0.018573351278600266,92.0,0.5050505050505051
16,0.018472409152086137,91.5,0.5387205387205387
17,0.017362045760430687,86.0,0.5723905723905723
18,0.021601615074024225,107.0,0.6060606060606061
19,0.02220726783310902,110.0,0.6397306397306397
20,0.022611036339165547,112.0,0.6734006734006734
21,0.022611036339165547,112.0,0.7070707070707071
22,0.02301480484522207,114.0,0.7407407407407407
23,0.023115746971736205,114.5,0.7744107744107744
24,0.02291386271870794,113.5,0.8080808080808081
25,0.02180349932705249,108.0,0.8417508417508417
26,0.021601615074024225,107.0,0.8754208754208754
27,0.02200538358008075,109.0,0.9090909090909091
28,0.02301480484522207,114.0,0.9427609427609427
29,0.021702557200538358,107.5,0.9764309764309764
30,0.02190444145356662,108.5,1.0101010101010102
31,0.021601615074024225,107.0,1.0437710437710437
32,0.02180349932705249,108.0,1.0774410774410774
33,0.02129878869448183,105.5,1.1111111111111112
34,0.021702557200538358,107.5,1.1447811447811447
35,0.021601615074024225,107.0,1.1784511784511784
36,0.020592193808882907,102.0,1.2121212121212122
37,0.0211978465679677,105.0,1.2457912457912457
38,0.02220726783310902,110.0,1.2794612794612794
39,0.022611036339165547,112.0,1.3131313131313131
40,0.022611036339165547,112.0,1.3468013468013469
41,0.023418573351278598,116.0,1.3804713804713804
42,0.02281292059219381,113.0,1.4141414141414141
43,0.023115746971736205,114.5,1.4478114478114479
44,0.02351951547779273,116.5,1.4814814814814814
45,0.023822341857335127,118.0,1.5151515151515151
46,0.023317631224764466,115.5,1.5488215488215489
47,0.023620457604306866,117.0,1.5824915824915824
48,0.023418573351278598,116.0,1.6161616161616161
49,0.02351951547779273,116.5,1.6498316498316499
50,0.023822341857335127,118.0,1.6835016835016834
51,0.02452893674293405,121.5,1.7171717171717171
52,0.023822341857335127,118.0,1.7508417508417509
53,0.024932705248990578,123.5,1.7845117845117844
54,0.025437415881561235,126.0,1.8181818181818181
55,0.02604306864064603,129.0,1.8518518518518519
56,0.025942126514131896,128.5,1.8855218855218854
57,0.025942126514131896,128.5,1.9191919191919191
58,0.026547779273216686,131.5,1.9528619528619529
59,0.026951547779273215,133.5,1.9865319865319866
60,0.02664872139973082,132.0,2.0202020202020203
61,0.026547779273216686,131.5,2.0538720538720536
62,0.028364737550471062,140.5,2.0875420875420874
63,0.028566621803499323,141.5,2.121212121212121
64,0.028869448183041723,143.0,2.154882154882155
65,0.029071332436069984,144.0,2.1885521885521886
66,0.02937415881561238,145.5,2.2222222222222223
67,0.031292059219380886,155.0,2.255892255892256
68,0.031292059219380886,155.0,2.2895622895622894
69,0.031292059219380886,155.0,2.323232323232323
70,0.031292059219380886,155.0,2.356902356902357
71,0.031292059219380886,155.0,2.3905723905723906
72,0.031292059219380886,155.0,2.4242424242424243
73,0.031292059219380886,155.0,2.457912457912458
74,0.031292059219380886,155.0,2.4915824915824913
75,0.031292059219380886,155.0,2.525252525252525
76,0.031292059219380886,155.0,2.558922558922559
77,0.031292059219380886,155.0,2.5925925925925926
78,0.031292059219380886,155.0,2.6262626262626263
79,0.031292059219380886,155.0,2.65993265993266
80,0.031292059219380886,155.0,2.6936026936026938
81,0.031292059219380886,155.0,2.727272727272727
82,0.031292059219380886,155.0,2.760942760942761
83,0.031292059219380886,155.0,2.7946127946127945
84,0.031292059219380886,155.0,2.8282828282828283
85,0.031292059219380886,155.0,2.861952861952862
86,0.031292059219380886,155.0,2.8956228956228958
87,0.031292059219380886,155.0,2.929292929292929
88,0.031292059219380886,155.0,2.962962962962963
89,0.031292059219380886,155.0,2.9966329966329965
90,0.031292059219380886,155.0,3.0303030303030303
91,0.031292059219380886,155.0,3.063973063973064
92,0.031292059219380886,155.0,3.0976430976430978
93,0.031292059219380886,155.0,3.131313131313131
94,0.031292059219380886,155.0,3.164983164983165
95,0.031292059219380886,155.0,3.1986531986531985
96,0.031292059219380886,155.0,3.2323232323232323
97,0.031292059219380886,155.0,3.265993265993266
98,0.031292059219380886,155.0,3.2996632996632997
99,0.031292059219380886,155.0,3.3333333333333335
